hour,session_count,total_kwh,hour_of_day,day_of_week,month,is_weekend
2019-01-14 21:00:00+00:00,1,0.952,21,0,1,0
2019-01-14 22:00:00+00:00,4,25.578,22,0,1,0
2019-01-14 23:00:00+00:00,2,5.182,23,0,1,0
2019-01-15 00:00:00+00:00,1,1.048,0,1,1,0
2019-01-15 01:00:00+00:00,6,73.23100000000001,1,1,1,0
2019-01-15 02:00:00+00:00,1,4.079,2,1,1,0
2019-01-15 03:00:00+00:00,1,13.225,3,1,1,0
2019-01-15 04:00:00+00:00,0,0.0,4,1,1,0
2019-01-15 05:00:00+00:00,0,0.0,5,1,1,0
2019-01-15 06:00:00+00:00,0,0.0,6,1,1,0
2019-01-15 07:00:00+00:00,0,0.0,7,1,1,0
2019-01-15 08:00:00+00:00,0,0.0,8,1,1,0
2019-01-15 09:00:00+00:00,0,0.0,9,1,1,0
2019-01-15 10:00:00+00:00,0,0.0,10,1,1,0
2019-01-15 11:00:00+00:00,0,0.0,11,1,1,0
2019-01-15 12:00:00+00:00,0,0.0,12,1,1,0
2019-01-15 13:00:00+00:00,2,56.265,13,1,1,0
2019-01-15 14:00:00+00:00,0,0.0,14,1,1,0
2019-01-15 15:00:00+00:00,2,36.052,15,1,1,0
2019-01-15 16:00:00+00:00,9,121.828,16,1,1,0
2019-01-15 17:00:00+00:00,10,62.711,17,1,1,0
2019-01-15 18:00:00+00:00,8,49.675,18,1,1,0
2019-01-15 19:00:00+00:00,3,40.434,19,1,1,0
2019-01-15 20:00:00+00:00,4,40.203,20,1,1,0
2019-01-15 21:00:00+00:00,3,20.131,21,1,1,0
2019-01-15 22:00:00+00:00,1,0.89,22,1,1,0
2019-01-15 23:00:00+00:00,0,0.0,23,1,1,0
2019-01-16 00:00:00+00:00,1,11.581,0,2,1,0
2019-01-16 01:00:00+00:00,1,16.52,1,2,1,0
2019-01-16 02:00:00+00:00,5,44.935,2,2,1,0
2019-01-16 03:00:00+00:00,1,15.861,3,2,1,0
2019-01-16 04:00:00+00:00,1,9.59,4,2,1,0
2019-01-16 05:00:00+00:00,0,0.0,5,2,1,0
2019-01-16 06:00:00+00:00,0,0.0,6,2,1,0
2019-01-16 07:00:00+00:00,0,0.0,7,2,1,0
2019-01-16 08:00:00+00:00,0,0.0,8,2,1,0
2019-01-16 09:00:00+00:00,0,0.0,9,2,1,0
2019-01-16 10:00:00+00:00,0,0.0,10,2,1,0
2019-01-16 11:00:00+00:00,0,0.0,11,2,1,0
2019-01-16 12:00:00+00:00,0,0.0,12,2,1,0
2019-01-16 13:00:00+00:00,1,27.246,13,2,1,0
2019-01-16 14:00:00+00:00,1,2.757,14,2,1,0
2019-01-16 15:00:00+00:00,1,38.766,15,2,1,0
2019-01-16 16:00:00+00:00,11,84.168,16,2,1,0
2019-01-16 17:00:00+00:00,13,123.51,17,2,1,0
2019-01-16 18:00:00+00:00,5,49.49,18,2,1,0
2019-01-16 19:00:00+00:00,1,10.62,19,2,1,0
2019-01-16 20:00:00+00:00,3,9.078,20,2,1,0
2019-01-16 21:00:00+00:00,1,4.015,21,2,1,0
2019-01-16 22:00:00+00:00,0,0.0,22,2,1,0
2019-01-16 23:00:00+00:00,0,0.0,23,2,1,0
2019-01-17 00:00:00+00:00,1,1.435,0,3,1,0
2019-01-17 01:00:00+00:00,2,26.857,1,3,1,0
2019-01-17 02:00:00+00:00,1,15.745,2,3,1,0
2019-01-17 03:00:00+00:00,1,0.828,3,3,1,0
2019-01-17 04:00:00+00:00,1,5.221,4,3,1,0
2019-01-17 05:00:00+00:00,0,0.0,5,3,1,0
2019-01-17 06:00:00+00:00,0,0.0,6,3,1,0
2019-01-17 07:00:00+00:00,0,0.0,7,3,1,0
2019-01-17 08:00:00+00:00,0,0.0,8,3,1,0
2019-01-17 09:00:00+00:00,0,0.0,9,3,1,0
2019-01-17 10:00:00+00:00,0,0.0,10,3,1,0
2019-01-17 11:00:00+00:00,0,0.0,11,3,1,0
2019-01-17 12:00:00+00:00,0,0.0,12,3,1,0
2019-01-17 13:00:00+00:00,0,0.0,13,3,1,0
2019-01-17 14:00:00+00:00,1,4.026,14,3,1,0
2019-01-17 15:00:00+00:00,2,18.57,15,3,1,0
2019-01-17 16:00:00+00:00,10,91.255,16,3,1,0
2019-01-17 17:00:00+00:00,9,109.047,17,3,1,0
2019-01-17 18:00:00+00:00,6,53.782,18,3,1,0
2019-01-17 19:00:00+00:00,0,0.0,19,3,1,0
2019-01-17 20:00:00+00:00,2,15.253,20,3,1,0
2019-01-17 21:00:00+00:00,3,37.719,21,3,1,0
2019-01-17 22:00:00+00:00,2,18.671,22,3,1,0
2019-01-17 23:00:00+00:00,3,9.129,23,3,1,0
2019-01-18 00:00:00+00:00,0,0.0,0,4,1,0
2019-01-18 01:00:00+00:00,0,0.0,1,4,1,0
2019-01-18 02:00:00+00:00,2,5.715,2,4,1,0
2019-01-18 03:00:00+00:00,2,21.282,3,4,1,0
2019-01-18 04:00:00+00:00,3,36.928,4,4,1,0
