_id,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,stationID,spaceID,timezone,userInputs
5c427db1f9af8b1e1a538295,2019-01-02 17:07:43+00:00,2019-01-03 02:49:49+00:00,2019-01-02 18:22:05+00:00,3.897,0002,2-39-89-25,CA-315,America/Los_Angeles,"[{'userID': 567, 'milesRequested': 20, 'WhPerMile': 333, 'minutesAvailable': 149, 'modifiedAt': 'Wed, 02 Jan 2019 17:08:14 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 19:36:43 GMT', 'kWhRequested': 6.66}]"
5c427db1f9af8b1e1a538296,2019-01-02 17:44:09+00:00,2019-01-03 01:44:48+00:00,2019-01-02 19:07:10+00:00,3.952,0002,2-39-91-437,CA-317,America/Los_Angeles,"[{'userID': 858, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 76, 'modifiedAt': 'Wed, 02 Jan 2019 17:44:27 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 19:00:09 GMT', 'kWhRequested': 8.0}]"
5c427db1f9af8b1e1a538297,2019-01-02 17:50:37+00:00,2019-01-02 20:07:33+00:00,2019-01-02 20:07:25+00:00,6.123,0002,2-39-79-377,CA-325,America/Los_Angeles,"[{'userID': 1272, 'milesRequested': 50, 'WhPerMile': 400, 'minutesAvailable': 383, 'modifiedAt': 'Wed, 02 Jan 2019 17:51:01 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 00:13:37 GMT', 'kWhRequested': 20.0}]"
5c427db1f9af8b1e1a538298,2019-01-02 18:05:16+00:00,2019-01-02 19:27:40+00:00,2019-01-02 19:27:28+00:00,3.616,0002,2-39-78-365,CA-321,America/Los_Angeles,"[{'userID': 1083, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 79, 'modifiedAt': 'Wed, 02 Jan 2019 18:05:39 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 19:24:16 GMT', 'kWhRequested': 8.0}]"
5c427db1f9af8b1e1a538299,2019-01-02 18:22:02+00:00,2019-01-03 00:26:08+00:00,2019-01-02 23:47:58+00:00,6.391,0002,2-39-79-381,CA-490,America/Los_Angeles,"[{'userID': 1154, 'milesRequested': 40, 'WhPerMile': 600, 'minutesAvailable': 413, 'modifiedAt': 'Wed, 02 Jan 2019 18:22:19 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 01:15:02 GMT', 'kWhRequested': 24.0}, {'userID': 1154, 'milesRequested': 40, 'WhPerMile': 600, 'minutesAvailable': 312, 'modifiedAt': 'Wed, 02 Jan 2019 19:15:52 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 23:34:02 GMT', 'kWhRequested': 24.0}]"
5c427db1f9af8b1e1a53829a,2019-01-02 18:35:54+00:00,2019-01-03 00:12:20+00:00,2019-01-03 00:12:13+00:00,34.835,0002,2-39-95-444,CA-497,America/Los_Angeles,"[{'userID': 818, 'milesRequested': 180, 'WhPerMile': 250, 'minutesAvailable': 350, 'modifiedAt': 'Wed, 02 Jan 2019 18:38:25 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 00:25:54 GMT', 'kWhRequested': 45.0}]"
5c427db1f9af8b1e1a53829b,2019-01-02 18:52:56+00:00,2019-01-03 01:02:31+00:00,2019-01-03 01:02:24+00:00,25.631,0002,2-39-79-380,CA-489,America/Los_Angeles,"[{'userID': 832, 'milesRequested': 90, 'WhPerMile': 300, 'minutesAvailable': 354, 'modifiedAt': 'Wed, 02 Jan 2019 18:53:57 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 00:46:56 GMT', 'kWhRequested': 27.0}]"
5c427db1f9af8b1e1a53829c,2019-01-02 19:04:51+00:00,2019-01-03 01:32:41+00:00,2019-01-02 20:31:24+00:00,4.003,0002,2-39-95-27,CA-319,America/Los_Angeles,"[{'userID': 891, 'milesRequested': 20, 'WhPerMile': 300, 'minutesAvailable': 219, 'modifiedAt': 'Wed, 02 Jan 2019 19:05:13 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 22:43:51 GMT', 'kWhRequested': 6.0}]"
5c427db1f9af8b1e1a53829d,2019-01-02 19:20:18+00:00,2019-01-03 10:53:31+00:00,2019-01-03 01:16:07+00:00,1.985,0002,2-39-79-383,CA-492,America/Los_Angeles,
5c427db1f9af8b1e1a53829e,2019-01-02 19:55:12+00:00,2019-01-03 03:14:11+00:00,2019-01-03 02:30:57+00:00,16.062,0002,2-39-78-367,CA-494,America/Los_Angeles,"[{'userID': 632, 'milesRequested': 40, 'WhPerMile': 400, 'minutesAvailable': 376, 'modifiedAt': 'Wed, 02 Jan 2019 19:55:54 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 02:11:12 GMT', 'kWhRequested': 16.0}]"
